formula,operation_set,x_low,x_high,beta,proposals,max_complexity,max_depth,train_rmse,test_rmse,complexity,coefficients,final_expression,simplified_expression
f4,paper,0.1,5.9,-1.0,500,,,0.1690241270040518,0.2785061655670552,39,"[-0.6526297372415684, 0.36672186526868966, 0.11022867234645274, 2.792663340189928]",-0.65263 + 0.366722*((1/[0.9552*(1/[(-0.1772*(-(x[1]))+-0.4609)*((-(x[1]))*(x[1]))])+-0.2818])*((x[1])*(-(x[1])))) + 0.110229*(-0.586*((3.746*(1.8713*(x[1]+x[1])+-1.0325)+-1.4226)*(x[1]+1/[x[1]]))+-0.4649+exp(x[0])) + 2.79266*(0.4976*(-(1/[-(exp(-(x[0])))]+x[1]))+2.1103),-0.905593671452159*x1**2 + 0.36672186526869*x1**2/(0.2818 + 0.9552/(0.1772*x1**3 - 0.4609*x1**2)) - 1.04790472259416*x1 + 1.49985795042496*exp(x0) + 4.28388872833521 + 0.341724555484351/x1
f4,exp_log,0.1,5.9,-0.3,500,250,40,1.4617063488865394,1.5440988007395873,249,"[-14.953299403881829, 0.053535919163917936, 1.3131897758809516, 1.4992470769242408]",-14.9533 + 0.0535359*(Re(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(x[0])))-log(1)))))-log(1)))-log(x[1]))-log(x[0])))))-log(1))-log(1)))-log(x[1]))-log(x[1])))-log(1))))-log(x[0])))-log(1)))))-log(x[0]))-log(1))))-log(1)))-log(x[1])))) + 1.31319*(Re(exp(exp(1)-log(1))-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(1))-log(x[0]))-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(x[1])))))))-log(x[1]))))))))-log(1))))))-log(x[1]))-log(x[1])))-log(x[1])))-log(1)))-log(x[1])))-log(x[1])))-log(x[1]))))))-log(x[1])))-log(x[1]))-log(1))))) + 1.49925*(Re(exp(x[0])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(x[1]))-log(1))))-log(x[1]))-log(x[1]))-log(1))))-log(x[1]))))))))-log(x[1]))-log(x[1]))-log(1))-log(1))-log(x[1])))-log(1)))))-log(x[1])))-log(x[1])))))-log(x[1])))))-log(x[1])))))),Skipped (EML set)
f5,default,0.1,5.9,-1.0,500,,,1.0564012817690994e-07,1.0311289974286308e-07,12,"[3.660233360847087e-08, 1.1122830917258232e-11, 2.985919465751816e-08, 5.999999792326549]",3.66023e-08 + 1.11228e-11*(0.5364*((1/[x[0]])^3)+0.9111) + 2.98592e-08*(0.8399*(0.1815*(x[1])+-0.3025)+-1.8911) + 6*((sin(x[0]))*(cos(x[1]))),4.55179087310218e-9*x1 + 5.99999979232655*sin(x0)*cos(x1) - 2.744057351895e-8 + 5.96628650401732e-12/x0**3
f5,paper,0.1,5.9,-1.0,500,,,2.7745402061031688,2.8503204264011837,17,"[-0.7121462236100646, -0.0012298687045110576, 0.09093401216732315, 0.00035558258482289975]",-0.712146 - 0.00122987*((exp(x[0]))*((x[1]+x[1])*(-(x[1])))) + 0.090934*(x[1]+x[1]) + 0.000355583*(-(exp(x[1]+x[0]))),0.00245973740902212*x1**2*exp(x0) + 0.181868024334646*x1 - 0.0003555825848229*exp(x0 + x1) - 0.712146223610065
f5,exp_log,0.1,5.9,-0.25,500,600,45,2.608057563432739,2.8078642294293377,599,"[-0.7441628049860177, -6.537828599362965e-12, 0.006542281148789103, -2.243255617740018e-12]",-0.744163 - 6.53783e-12*(Re(exp(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(x[1]))-log(1))))-log(x[1]))-log(1)))))))-log(1)))-log(x[1]))-log(1)))-log(x[1])))-log(x[1]))-log(1)))-log(1))-log(x[1]))))-log(1))-log(1))-log(x[1])))-log(x[1]))))-log(x[1])))))-log(1)))-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(exp(1)-log(1))-log(x[1]))-log(1)))-log(x[1]))-log(1)))-log(x[1]))-log(1))))-log(1))))-log(x[1]))))-log(x[1])))))-log(1)))-log(x[1]))-log(x[1])))-log(x[1])))))))-log(1)))-log(1)))))-log(x[1]))))-log(x[1]))-log(x[1]))) + 0.00654228*(Re(exp(exp(1)-log(exp(1)-log(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[1])-log(1))-log(1))))))-log(x[1])))-log(1))-log(1)))))-log(1)))))))-log(x[1]))-log(x[1]))))-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(x[0])))-log(1))-log(x[1]))-log(x[1]))))-log(x[0]))))))-log(1)))-log(x[0]))))-log(x[1])))-log(x[1]))))-log(1)))-log(1))))-log(1))-log(x[1]))-log(x[1]))-log(1)))-log(1)))-log(x[1]))-log(x[0]))-log(x[1]))-log(exp(x[1])-log(1))))-log(x[1]))-log(1))))-log(x[1]))) - 2.24326e-12*(Re(exp(exp(x[0])-log(exp(exp(exp(exp(exp(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(exp(exp(1)-log(x[1]))-log(1))-log(exp(exp(exp(exp(x[0])-log(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[0])-log(exp(exp(x[0])-log(exp(exp(exp(1)-log(1))-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(x[0])))))-log(x[0])))-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(1))))))-log(exp(x[0])-log(x[0]))))-log(1))-log(x[1]))-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[0])-log(exp(1)-log(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(1)))-log(x[1]))-log(exp(1)-log(exp(exp(x[0])-log(exp(x[0])-log(exp(exp(1)-log(x[0]))-log(exp(exp(exp(exp(x[1])-log(x[1]))-log(exp(x[0])-log(1)))-log(x[0]))-log(exp(1)-log(exp(exp(x[0])-log(x[0]))-log(1)))))))-log(1)))))-log(exp(1)-log(1)))))-log(1))-log(1))-log(exp(x[0])-log(x[1]))))-log(exp(x[0])-log(x[0])))))-log(x[1]))-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(1))-log(x[1]))-log(x[1]))-log(exp(exp(1)-log(x[0]))-log(exp(1)-log(exp(1)-log(x[1]))))))-log(x[1])))-log(exp(exp(x[1])-log(x[0]))-log(exp(x[1])-log(x[1])))))-log(exp(1)-log(x[1]))))-log(exp(exp(exp(1)-log(x[0]))-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))-log(exp(x[0])-log(x[0])))-log(exp(exp(x[0])-log(exp(x[0])-log(x[1])))-log(exp(x[0])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(x[1]))-log(x[1]))-log(exp(1)-log(1))))))))-log(exp(x[1])-log(1))))-log(exp(1)-log(exp(exp(x[1])-log(exp(x[0])-log(x[1])))-log(x[0])))))-log(exp(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(x[1]))-log(exp(exp(exp(1)-log(x[1]))-log(exp(x[1])-log(1)))-log(x[0])))-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(1)))))-log(1))))))))))-log(1))-log(1))-log(1))))-log(x[1])))-log(x[1]))-log(1)))))))-log(1))-log(1))))-log(x[0]))-log(x[1]))-log(x[1])))-log(x[1]))-log(1)))-log(x[1]))-log(x[1]))-log(x[0]))-log(x[1])))-log(x[1]))),Skipped (EML set)
f6,default,0.1,5.9,-1.0,500,,,3.4842188500031637,3.7090574736200588,13,"[0.34101189939933363, 1.4440303322916268, 1.8508585091791327, -2.125390086189441]",0.341012 + 1.44403*((x[1])*(x[0])) + 1.85086*(sin(sin(sin(x[1])))) - 2.12539*((cos((cos(exp(x[0])))^3))^3),1.44403033229163*x0*x1 + 1.85085850917913*sin(sin(sin(x1))) - 2.12539008618944*cos(cos(exp(x0))**3)**3 + 0.341011899399334
f6,paper,0.1,5.9,-1.0,500,,,3.201801973495479,3.6357555748410304,14,"[-7.326578172006293, 8.33918834950279, -0.1179810798788751, 2.1012977131357005]",-7.32658 + 8.33919*(0.8533*((exp(-(x[1])))*(x[1]))+0.4295) - 0.117981*(((x[0])*(x[0]))*(x[1])) + 2.1013*((x[0])*(x[1])),-0.117981079878875*x0**2*x1 + 2.1012977131357*x0*x1 + 7.11582941863073*x1*exp(-x1) - 3.74489677589485
f6,exp_log,0.1,5.9,-0.25,500,600,45,7.219357049719352,7.360677088735603,509,"[6.118775256590197, 1.6123686030135413, 2.2954377076146657e-12, -1.5481381674651402]",6.11878 + 1.61237*(Re(exp(x[0])-log(exp(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(x[1])))-log(1)))-log(x[1])))))-log(1))-log(x[1])))))-log(1))-log(1))-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(1))-log(x[1]))))-log(1))))))-log(1)))))-log(x[0])))))-log(x[1])))-log(x[1]))-log(1)))-log(x[1]))))))-log(x[1]))))-log(x[1]))))-log(1)))-log(1))))-log(1))-log(x[1])))) + 2.29544e-12*(Re(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(x[1])))))))-log(1))-log(1))-log(1))-log(x[1])))-log(exp(x[0])-log(exp(exp(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[0])-log(x[1]))-log(x[1]))-log(x[1])))))))))))))))))-log(1))))))-log(1))-log(1))-log(x[1]))-log(1))))))-log(x[1]))-log(x[1]))-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(x[0]))-log(x[1]))-log(x[1]))))))-log(1))))-log(1))-log(1))))))-log(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(x[1])))-log(1)))))))))-log(1))-log(x[1])))-log(1))-log(x[1])))-log(x[1])))-log(x[1]))-log(1)))-log(1)))-log(1)))-log(x[1]))-log(x[1])))))-log(1))-log(x[1])))-log(x[1]))-log(x[1]))))-log(1)))))-log(x[1]))-log(x[1]))) - 1.54814*(Re(exp(x[0])-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(1)-log(exp(exp(x[0])-log(exp(exp(1)-log(exp(exp(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(x[1])))))))-log(1))-log(1))))))-log(1)))-log(x[1]))))-log(1))))))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1]))-log(1)))-log(x[0])))-log(x[1])))-log(1))-log(1))-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(x[1])))-log(x[1]))))-log(1)))-log(x[1]))-log(x[1]))-log(1)))))-log(1))-log(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(exp(x[1])-log(1))-log(x[1])))-log(1))-log(x[1])))-log(x[1])))-log(1)))))))-log(1))-log(1)))-log(x[0])))))))-log(x[1]))-log(x[1]))-log(1)))-log(x[1]))-log(1))-log(x[1]))))-log(1))-log(1)))-log(1)))-log(1))-log(1)))-log(1))-log(x[1]))-log(x[1]))))),Skipped (EML set)
f_eml_test1,paper,0.1,5.9,-1.0,500,,,9.78598324435175e-07,1.1150951684493664e-06,12,"[4.660189247010512, -4.868860843864072, -8.745326674406614e-07, 4.4086232570696843e-07]",4.66019 - 4.86886*(0.2054*((x[0])*(-(x[0])))+0.9571) - 8.74533e-07*(1/[x[0]]) + 4.40862e-07*(exp((-(x[0]))*(x[1]))),1.00006401732968*x0**2 + 0.000202533348209855 + 4.40862325706968e-7*exp(-x0*x1) - 8.74532667440661e-7/x0
f_eml_test1,exp_log,0.1,5.9,-1.0,500,20,,0.9989082431173537,1.2131130414199798,19,"[7.135378312278123, -7.832765057498903]",7.13538 - 7.83277*(Re(exp(1)-log(exp(x[0])-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[0])-log(1))))-log(x[0]))-log(exp(exp(1)-log(1))-log(x[0])))))),Skipped (EML set)
