formula,operation_set,x_low,x_high,beta,proposals,max_complexity,max_depth,train_rmse,test_rmse,complexity,coefficients,final_expression,simplified_expression
f1,exp_log,0.1,3,-0.5,500,90,18,3.5893319972480264,3.5791543287503584,89,"[-26.738438369047742, 9.232329198432632e-14, 5.169867972766265e-12, 10.619406002889649]",-26.7384 + 9.23233e-14*(Re(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(x[1]))-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(1)-log(x[0]))-log(1))-log(1))-log(x[1]))-log(1))))-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(1)))-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(1)))))))-log(1))))))))))-log(x[1]))-log(1))) + 5.16987e-12*(Re(exp(exp(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(exp(exp(1)-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1])))))))))-log(x[1])))-log(1))-log(x[1]))) + 10.6194*(Re(exp(x[0])-log(exp(x[0])-log(exp(1)-log(1))))),-26.7384 + 10.6194*(Re(exp(x[0])-log(exp(x[0])-log(exp(1)-log(1)))))
f2,exp_log,0.1,3,-0.5,500,50,15,2.777303008597204,2.689574062135366,50,"[-26.044646069492927, 12.31066772984863, 3.5156026549406927]",-26.0446 + 12.3107*(Re(exp(x[1])-log(exp(1)-log(x[0])))) + 3.5156*(Re(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(1))-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(1))))))))-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(x[1]))))-log(x[1])))-log(x[1])))))-log(x[1])))-log(x[1]))))),-26.0446 + 12.3107*(Re(exp(x[1])-log(exp(1)-log(x[0])))) + 3.5156*(Re(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(1))-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(1))))))))-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(x[1]))))-log(x[1])))-log(x[1])))))-log(x[1])))-log(x[1])))))
f3,exp_log,0.1,3,-0.75,500,75,15,0.3202733860225123,0.3240737895795905,75,"[-1.3703572682898364, 0.26852859330325585, 4.227361405805045e-09, -0.6187830950449652]",-1.37036 + 0.268529*(Re(exp(x[0])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))))))-log(1))))-log(1)))-log(1))-log(x[1])))) + 4.22736e-09*(Re(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[0])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(x[1])-log(exp(x[0])-log(1)))))))-log(1))))-log(1))-log(x[0]))))-log(x[1]))) - 0.618783*(Re(exp(1)-log(exp(exp(x[1])-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1])))))))),-1.37036 + 0.268529*(Re(exp(x[0])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))))))-log(1))))-log(1)))-log(1))-log(x[1])))) - 0.618783*(Re(exp(1)-log(exp(exp(x[1])-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))))))
f4,exp_log,0.1,3,-0.3,500,170,25,0.24370039330390894,0.2683826675358536,169,"[-4.100388924936897, 4.012906700874857, -5.005243222532751e-14, 1.5006632715015065]",-4.10039 + 4.01291*(Re(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1])))))-log(x[1]))-log(x[1]))-log(1))-log(x[1]))-log(1))))-log(1)))-log(1))-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(1)-log(x[1]))-log(x[0]))-log(1))-log(x[1]))-log(1))))))-log(1))-log(1)))-log(1)))-log(x[1]))-log(x[1])))-log(1)))-log(x[1])))))))) - 5.00524e-14*(Re(exp(exp(exp(exp(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(exp(1)-log(x[1]))-log(1))-log(1))-log(1))-log(x[0]))))-log(1)))-log(1))-log(1))-log(1)))-log(1)))-log(1))-log(x[0]))-log(x[0])))-log(exp(exp(exp(1)-log(exp(exp(x[0])-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(x[0])))-log(1))-log(x[0]))))))))-log(1))))-log(1)))-log(x[1]))-log(exp(x[1])-log(x[0]))))-log(x[0]))-log(1))-log(1))-log(x[1]))) + 1.50066*(Re(exp(x[0])-log(exp(1)-log(x[1])))),-4.10039 + 4.01291*(Re(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1])))))-log(x[1]))-log(x[1]))-log(1))-log(x[1]))-log(1))))-log(1)))-log(1))-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(1)-log(x[1]))-log(x[0]))-log(1))-log(x[1]))-log(1))))))-log(1))-log(1)))-log(1)))-log(x[1]))-log(x[1])))-log(1)))-log(x[1])))))))) + 1.50066*(Re(exp(x[0])-log(exp(1)-log(x[1]))))
f5,exp_log,0.1,3,-0.25,500,500,35,1.2299510010000465,1.267627326154892,499,"[1.0514873658156756, -1.1349061174152692e-12, -5.495906208678383e-14, 1.6883546810478554]",1.05149 - 1.13491e-12*(Re(exp(exp(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1])))))-log(x[1]))-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(1)))))-log(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(x[0])-log(exp(x[1])-log(x[1]))))))-log(1))))))-log(1))))-log(x[1])))-log(x[1])))-log(exp(x[0])-log(x[0])))-log(exp(1)-log(1))))-log(1))-log(1))))-log(1))-log(1))-log(x[1])))))-log(1))-log(1))) - 5.49591e-14*(Re(exp(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(x[1]))))))-log(x[0])))))))-log(x[1]))-log(1))-log(x[0])))-log(x[1]))-log(1))-log(x[1]))-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(x[0])-log(x[1])))-log(x[0]))-log(exp(exp(x[1])-log(exp(exp(1)-log(x[1]))-log(exp(exp(x[1])-log(x[0]))-log(x[0]))))-log(1))))))-log(1)))-log(x[1]))-log(exp(exp(x[0])-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[0])-log(exp(x[0])-log(x[1])))-log(x[0])))))-log(exp(exp(exp(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(x[0])))-log(exp(exp(exp(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(x[0])-log(x[1]))-log(1))))-log(exp(x[1])-log(exp(exp(exp(1)-log(x[0]))-log(exp(x[0])-log(x[0])))-log(1))))-log(x[0]))-log(exp(x[0])-log(exp(exp(exp(1)-log(x[0]))-log(x[0]))-log(x[1]))))-log(x[0])))-log(exp(exp(1)-log(exp(x[0])-log(exp(1)-log(1))))-log(exp(1)-log(x[0]))))-log(x[0])))-log(exp(exp(1)-log(x[1]))-log(exp(exp(x[0])-log(x[1]))-log(x[0]))))-log(exp(exp(exp(x[0])-log(x[1]))-log(x[1]))-log(exp(1)-log(1))))-log(1)))-log(exp(exp(1)-log(x[1]))-log(exp(x[0])-log(exp(exp(exp(exp(exp(1)-log(1))-log(exp(x[0])-log(x[0])))-log(1))-log(exp(x[1])-log(1)))-log(exp(x[0])-log(1))))))-log(exp(x[1])-log(x[1])))-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(x[1])))-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(1)))))))-log(x[0]))-log(exp(x[1])-log(exp(x[0])-log(x[0]))))))-log(1))-log(1)))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[0]))))))-log(x[0]))-log(1))))-log(x[0]))-log(1))-log(1)))))-log(1))-log(1))-log(1))-log(x[1]))-log(1))) + 1.68835*(Re(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(x[1]))))-log(exp(1)-log(exp(exp(1)-log(1))-log(x[0])))))-log(1))-log(x[0]))-log(x[1])))-log(1)))-log(1))-log(1)))-log(x[1]))-log(1)))-log(1))-log(1)))))))-log(x[1]))))))-log(x[1])))-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(x[1])))))-log(1))-log(1))-log(x[1])))-log(1))))))))-log(x[1]))-log(1)))))-log(x[1])))))-log(1))-log(1))-log(x[1])))-log(x[1]))))-log(1)))))),1.05149 + 1.68835*(Re(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(x[1]))))-log(exp(1)-log(exp(exp(1)-log(1))-log(x[0])))))-log(1))-log(x[0]))-log(x[1])))-log(1)))-log(1))-log(1)))-log(x[1]))-log(1)))-log(1))-log(1)))))))-log(x[1]))))))-log(x[1])))-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(x[1])))))-log(1))-log(1))-log(x[1])))-log(1))))))))-log(x[1]))-log(1)))))-log(x[1])))))-log(1))-log(1))-log(x[1])))-log(x[1]))))-log(1))))))
f6,exp_log,0.1,3,-0.25,500,190,26,2.08208253554282,2.095071322851623,189,"[-1.681613642747747, -1.9633847595132636e-12, 0.3219864529959681, -1.4525964999396417e-13]",-1.68161 - 1.96338e-12*(Re(exp(exp(exp(x[1])-log(exp(exp(x[0])-log(exp(exp(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[0])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(x[0])-log(x[1]))-log(1))-log(x[1]))))-log(x[0]))))-log(x[1]))-log(x[1]))-log(x[1])))-log(1)))-log(x[1]))-log(1)))-log(x[1]))-log(1))-log(x[0])))-log(x[0])))-log(1))-log(x[1]))) + 0.321986*(Re(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(1)-log(x[1]))-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(1))))))-log(exp(1)-log(1)))))-log(x[1])))))-log(1))-log(x[1]))))-log(1)))-log(1)))-log(x[1]))-log(x[0]))-log(1)))-log(1))) - 1.4526e-13*(Re(exp(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[0])-log(exp(exp(x[1])-log(x[1]))-log(x[1]))))-log(x[1])))-log(x[1])))-log(x[1]))-log(1))-log(x[0]))-log(x[1]))-log(x[1]))-log(1)))-log(x[1]))-log(x[1])))))-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(exp(exp(exp(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(1)))-log(1)))-log(1))-log(1))-log(x[1]))-log(x[1]))-log(1))-log(1))-log(x[1]))))-log(x[1]))-log(1)))-log(1))-log(x[1]))-log(x[1]))-log(x[1]))),-1.68161 + 0.321986*(Re(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(1)-log(x[1]))-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(1))))))-log(exp(1)-log(1)))))-log(x[1])))))-log(1))-log(x[1]))))-log(1)))-log(1)))-log(x[1]))-log(x[0]))-log(1)))-log(1)))
f_eml_test1,exp_log,0.1,3,-1.0,500,20,,0.14577903126831593,0.15188101235643095,19,"[1.9952315261316198, 0.37909201949074334]",1.99523 + 0.379092*(Re(exp(x[0])-log(exp(exp(exp(1)-log(exp(x[0])-log(x[0])))-log(1))-log(exp(exp(1)-log(x[0]))-log(exp(exp(x[1])-log(x[1]))-log(1)))))),1.99523 + 0.379092*(Re(exp(x[0])-log(exp(exp(exp(1)-log(exp(x[0])-log(x[0])))-log(1))-log(exp(exp(1)-log(x[0]))-log(exp(exp(x[1])-log(x[1]))-log(1))))))
f_eml_test2,exp_log,0.1,3,-1.0,500,30,,0.21408581763103549,0.21065124283844083,29,"[-2.8074280972930765, 1.5804076737388946]",-2.80743 + 1.58041*(Re(exp(x[0])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(1))-log(1)))-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(1))))))))-log(1)))-log(1)))),-2.80743 + 1.58041*(Re(exp(x[0])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(1))-log(1)))-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(1))))))))-log(1)))-log(1))))
f_eml_test3,exp_log,0.1,3,-1.0,500,70,,0.7225444470067243,0.9409947922716491,69,"[-1.7795737599382804, 2.9319068400182147, 0.40170520505704593, 0.4762997208131541]",-1.77957 + 2.93191*(Re(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1))))))-log(x[1])))))-log(x[1])))) + 0.401705*(Re(exp(x[0])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(x[0]))-log(1))))))-log(exp(1)-log(x[0]))))))-log(x[1])))) + 0.4763*(Re(exp(x[1])-log(exp(x[0])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(1)-log(x[0])))))-log(exp(x[1])-log(x[0]))))))),-1.77957 + 2.93191*(Re(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1))))))-log(x[1])))))-log(x[1])))) + 0.401705*(Re(exp(x[0])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(x[0]))-log(1))))))-log(exp(1)-log(x[0]))))))-log(x[1])))) + 0.4763*(Re(exp(x[1])-log(exp(x[0])-log(exp(x[0])-log(exp(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(1)-log(x[0])))))-log(exp(x[1])-log(x[0])))))))
f_eml_test4,exp_log,0.1,3,-0.5,500,150,,0.15637845317236213,0.21876397313769352,149,"[1.2403534302798809, -0.10376718523669724, 0.7665454126444234, -0.21958294860444832]",1.24035 - 0.103767*(Re(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(1))))-log(1))-log(exp(exp(exp(x[1])-log(1))-log(exp(x[0])-log(exp(x[1])-log(1))))-log(1)))))-log(x[1])))-log(1)))) + 0.766545*(Re(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(x[1])))-log(x[1]))-log(1))-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(1)))-log(x[1])))))-log(1))-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[0])-log(exp(1)-log(exp(x[1])-log(1))))-log(x[1])))-log(1)))))-log(1)))-log(1))) - 0.219583*(Re(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(x[1]))-log(1))-log(x[0]))-log(1)))-log(1)))-log(x[1]))-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(x[1])))-log(1))-log(exp(exp(1)-log(exp(x[1])-log(x[1])))-log(1))))))-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(1))))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1]))))))))))))-log(x[1]))),1.24035 - 0.103767*(Re(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(1))))-log(1))-log(exp(exp(exp(x[1])-log(1))-log(exp(x[0])-log(exp(x[1])-log(1))))-log(1)))))-log(x[1])))-log(1)))) + 0.766545*(Re(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(x[1])))-log(x[1]))-log(1))-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(1)))-log(x[1])))))-log(1))-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[0])-log(exp(1)-log(exp(x[1])-log(1))))-log(x[1])))-log(1)))))-log(1)))-log(1))) - 0.219583*(Re(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(x[1]))-log(1))-log(x[0]))-log(1)))-log(1)))-log(x[1]))-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(x[1])))-log(1))-log(exp(exp(1)-log(exp(x[1])-log(x[1])))-log(1))))))-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(1))))-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(x[1]))))))))))))-log(x[1])))
