formula,operation_set,x_low,x_high,beta,proposals,max_complexity,max_depth,train_rmse,test_rmse,complexity,coefficients,final_expression,simplified_expression
f1,exp_log,0.1,3,-0.5,2000,90,18,2.138979667669548,2.3580767368178996,89,"[-12.54521773285472, -3.475257298350485e-13, 9.650441788055696, 1.83370923988744e-05]",-12.5452 - 3.47526e-13*(Re(exp(exp(exp(exp(x[1])-log(1))-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(1))-log(exp(x[0])-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(1)))-log(x[1])))))))-log(1)))-log(1))))-log(exp(1)-log(exp(x[1])-log(exp(1)-log(x[1])))))-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(x[1])))))-log(1)))))-log(x[1]))))) + 9.65044*(Re(exp(x[0])-log(exp(x[0])-log(exp(exp(exp(x[0])-log(exp(x[0])-log(1)))-log(x[0]))-log(x[0]))))) + 1.83371e-05*(Re(exp(exp(exp(1)-log(1))-log(exp(exp(exp(x[0])-log(1))-log(exp(1)-log(x[0])))-log(1)))-log(x[1]))),-12.5452 + 9.65044*(Re(exp(x[0])-log(exp(x[0])-log(exp(exp(exp(x[0])-log(exp(x[0])-log(1)))-log(x[0]))-log(x[0]))))) + 1.83371e-05*(Re(exp(exp(exp(1)-log(1))-log(exp(exp(exp(x[0])-log(1))-log(exp(1)-log(x[0])))-log(1)))-log(x[1])))
f2,exp_log,0.1,3,-0.5,2000,50,15,3.153483585629132,3.0810812162830183,50,"[-5.5723698984671755, 13.015785802293962, -3.981059578098005]",-5.57237 + 13.0158*(Re(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(1)))))-log(1))))))-log(x[1]))))))) - 3.98106*(Re(exp(1)-log(exp(exp(x[0])-log(1))-log(exp(exp(x[0])-log(exp(1)-log(exp(exp(x[0])-log(x[1]))-log(x[0]))))-log(1))))),-5.57237 + 13.0158*(Re(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(x[1])-log(exp(x[0])-log(exp(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(1)))))-log(1))))))-log(x[1]))))))) - 3.98106*(Re(exp(1)-log(exp(exp(x[0])-log(1))-log(exp(exp(x[0])-log(exp(1)-log(exp(exp(x[0])-log(x[1]))-log(x[0]))))-log(1)))))
f_eml_test1,exp_log,0.1,3,-1.0,2000,20,,0.1989338970284015,0.2495245915448565,19,"[0.18995379305894433, 0.4934575111334362]",0.189954 + 0.493458*(Re(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[0])-log(exp(x[0])-log(x[0])))-log(exp(1)-log(1))))-log(x[0])))))),0.189954 + 0.493458*(Re(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[0])-log(exp(x[0])-log(x[0])))-log(exp(1)-log(1))))-log(x[0]))))))
